day,month,year,daily_policy_index
18,2,2004,27.19
19,2,2004,176.71
20,2,2004,48.28
21,2,2004,78.05
22,2,2004,244.87
23,2,2004,60.89
24,2,2004,145.66
25,2,2004,52.60
26,2,2004,218.28
27,2,2004,46.12
28,2,2004,156.30
29,2,2004,153.66
1,3,2004,28.91
2,3,2004,136.54
3,3,2004,159.08
4,3,2004,88.94
5,3,2004,60.21
6,3,2004,109.91
7,3,2004,61.10
8,3,2004,103.99
9,3,2004,142.48
10,3,2004,177.40
11,3,2004,20.89
12,3,2004,232.70
13,3,2004,337.17
14,3,2004,270.64
15,3,2004,116.88
16,3,2004,136.30
17,3,2004,175.75
18,3,2004,398.14
19,3,2004,198.88
20,3,2004,185.85
21,3,2004,311.80
22,3,2004,147.11
23,3,2004,132.04
24,3,2004,99.02
25,3,2004,81.02
26,3,2004,72.21
27,3,2004,213.80
28,3,2004,121.49
29,3,2004,86.33
30,3,2004,73.21
31,3,2004,140.24
1,4,2004,279.07
2,4,2004,178.80
3,4,2004,69.44
4,4,2004,77.55
5,4,2004,67.51
6,4,2004,93.54
7,4,2004,48.67
8,4,2004,103.49
9,4,2004,234.76
10,4,2004,296.82
11,4,2004,73.99
12,4,2004,76.22
13,4,2004,30.57
14,4,2004,108.90
15,4,2004,176.01
16,4,2004,97.13
17,4,2004,62.47
18,4,2004,62.43
19,4,2004,93.72
20,4,2004,106.47
21,4,2004,103.73
22,4,2004,141.48
23,4,2004,21.53
24,4,2004,153.23
25,4,2004,96.59
26,4,2004,200.00
27,4,2004,168.42
28,4,2004,134.23
29,4,2004,86.01
30,4,2004,23.88
1,5,2004,87.02
2,5,2004,101.21
3,5,2004,40.99
4,5,2004,97.43
5,5,2004,82.94
6,5,2004,24.39
7,5,2004,53.35
8,5,2004,67.29
9,5,2004,89.91
10,5,2004,158.60
11,5,2004,133.10
12,5,2004,52.99
13,5,2004,46.14
14,5,2004,24.52
15,5,2004,32.78
16,5,2004,103.26
17,5,2004,54.36
18,5,2004,270.45
19,5,2004,140.14
20,5,2004,58.45
21,5,2004,25.53
22,5,2004,59.40
23,5,2004,195.72
24,5,2004,35.51
25,5,2004,60.12
26,5,2004,124.60
27,5,2004,83.48
28,5,2004,142.44
29,5,2004,143.78
30,5,2004,0.00
31,5,2004,86.77
1,6,2004,61.21
2,6,2004,255.75
3,6,2004,110.28
4,6,2004,99.20
5,6,2004,147.53
6,6,2004,101.97
7,6,2004,236.25
8,6,2004,130.45
9,6,2004,222.89
10,6,2004,63.17
11,6,2004,45.75
12,6,2004,0.00
13,6,2004,37.97
14,6,2004,88.52
15,6,2004,132.13
16,6,2004,187.40
17,6,2004,65.01
18,6,2004,71.57
